experiment,best_val_loss,training_time_seconds,surface_coverage_MAE,surface_coverage_RMSE,surface_coverage_R2,film_thickness_MAE,film_thickness_RMSE,film_thickness_R2,coverage_MAE_physical,thickness_MAE_physical,physics_bounds,physics_positive_thickness,physics_geometry,physics_smoothness
FNO_baseline,6.178106069758845e-05,432.4646177989998,0.0016800122102722526,0.007554701529443264,0.9999400973320007,0.0018599494360387325,0.00901226606220007,0.9999170303344727,0.00010604081870430136,1.8007943240185183e-05,7.171138793893306e-09,1.9465798417606095e-10,1.4156025684997076e-08,0.008007088676095009
bounds_only,6.458063081178503e-05,432.13203941199936,0.001521963276900351,0.007481725420802832,0.9999412298202515,0.0018231789581477642,0.009662325493991375,0.9999046325683594,9.606491603667607e-05,1.76519331971459e-05,6.276839936703027e-09,1.9281086449662865e-10,1.176593311669194e-08,0.00800210889428854
geometry_only,6.504528791992926e-05,431.64440240800013,0.001713956706225872,0.008349167183041573,0.9999268054962158,0.0016994212055578828,0.008189164102077484,0.9999315142631531,0.00010818336393070976,1.645371643867427e-05,6.298079391342526e-09,1.8185654371283277e-10,1.4608181331254855e-08,0.008010311983525753
smoothness_only,0.00015059111387624095,432.85391436699956,0.0017026400892063975,0.008315009996294975,0.9999274015426636,0.001693286350928247,0.00819771271198988,0.9999313354492188,0.00010746906951881758,1.6394319063768982e-05,5.789952517432084e-09,1.7904538962554284e-10,1.4383187973976419e-08,0.008006468415260315
full_PINO,0.00014977730558409045,434.98510431400064,0.0015416707610711455,0.007501048501580954,0.9999409317970276,0.0018409673357382417,0.009638980962336063,0.9999051094055176,9.730883423161255e-05,1.7824159435008867e-05,5.9666693807969295e-09,2.025944689787451e-10,1.1848968028971285e-08,0.007997347973287106
